#ACES etch rate file
Default (1.4um/min), 1.000000 1.414000 1.414000 0.000000 
EDP (1um/min), 1.000000 0.200000 0.200000 0.000000 
EDP(Std) (1um/min), 1.000000 0.600000 1.000000 0.020000 
GaAs Etch(1.5um/min), 1.300000 1.000000 1.000000 1.500000 
Iso Etch (1um/min), 1.000000 1.000000 1.000000 1.000000 
KOH 30% (1.4um/min), 1.000000 1.414000 1.414000 0.000000 
KOH-EPFL, 0.800000 1.130000 1.130000 0.010000 
